ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
692,simple,47456c3d1728,ARIMIS MILKING JELLY 200G,1,0,visible,ARIMIS MILKING JELLY 200G,ARIMIS MILKING JELLY 200G,,,none,,1,,,0,0,,,,,0,,,82,Beauty,,,,,,,,,,,,0,,Brand,Arimis,1,1,Vendor,TRI CLOVER INDUSTRIES (K) LTD.,1,1
694,simple,37260c4fcd92,FAHARI YA KENYA TEA 100GM,1,0,visible,FAHARI YA KENYA TEA 100GM,FAHARI YA KENYA TEA 100GM,,,none,,1,,,0,0,,,,,0,,,47,"Tea\, Coffee &amp; Hot Chocolate",,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/fahari-ya-kenya-tea.jpeg,,,,,,,,,0,,Brand,Fahari,1,1,Vendor,KENYA TEA PACKERS LIMITED,1,1
696,simple,af3b3b0956ed,UFUTA COOKING OIL 2LTR,1,0,visible,UFUTA COOKING OIL 2LTR,UFUTA COOKING OIL 2LTR,,,none,,0,,,0,0,,,,,0,,,,"Cooking Ingredient, Oil",,,,,,,,,,,,0,,Vendor,BIDCO AFRICA LIMITED,1,1,,,,
709,simple,a23924c1f7c8,SOKO MAIZE MEAL 2KG,1,0,visible,SOKO MAIZE MEAL 2KG,SOKO MAIZE MEAL 2KG,,,none,,1,,,0,0,,,,,0,,,107,Flours,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/soko-maize-meal-2kg.jpeg,,,,,,,,,0,,Brand,Soko,1,1,Vendor,CAPWELL INDUSTRIES LTD.,1,1
733,simple,53eaa7a66e2c,DAIMA UHT 500ML,1,0,visible,DAIMA UHT 500ML,DAIMA UHT 500ML,,,none,,1,,,0,0,,,,,0,,,46,Milk,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/daima_uht_fino_500ml.jpeg,,,,,,,,,0,,Brand,Daima,1,1,Vendor,DEVYANI FOOD INDUSTRIES(KENYA) LTD,1,1
744,simple,6da71608a54b,AJAB HOME BAKING 2KG,1,0,visible,AJAB HOME BAKING 2KG,AJAB HOME BAKING 2KG,,,none,,1,,,0,0,,,,,0,,,146,Flours,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/ajab-home-baking0flour-2kg.jpeg,,,,,,,,,0,,Brand,Ajab,1,1,Vendor,GRAIN INDUSTRIES LIMITED,1,1
754,simple,22d8cc1c32bf,PEMBE MAIZE MEAL 2KG,1,0,visible,PEMBE MAIZE MEAL 2KG,PEMBE MAIZE MEAL 2KG,,,none,,1,,,0,0,,,,,0,,,104,Flours,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/Pembe-Maize-Meal-Flour-2k.jpeg,,,,,,,,,0,,Brand,Pembe,1,1,Vendor,PEMBE FLOUR MILLS LTD,1,1
758,simple,e8b9c7aa70e0,Festive Brown - 400gr,1,0,visible,Festive Brown - 400gr,Festive Brown - 400gr,,,none,,1,,,0,0,,,,,0,,,50,Bread,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,,,,,,,,,0,,Brand,Festive,1,1,Vendor,Festive,1,1
759,simple,4b5db724de9b,Festive Brown - 600gr,1,0,visible,Festive Brown - 600gr,Festive Brown - 600gr,,,none,,1,,,0,0,,,,,0,,,74,Bread,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,,,,,,,,,0,,Brand,Festive,1,1,Vendor,Festive,1,1
775,simple,73165ac222bf,Festive White - 400gr,1,0,visible,Festive White - 400gr,Festive White - 400gr,,,none,,1,,,0,0,,,,,0,,,50,Bread,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/festive-white-bread.jpeg,,,,,,,,,0,,Brand,Festive,1,1,Vendor,Festive,1,1
776,simple,63de90d88d44,Festive White - 600gr,1,0,visible,Festive White - 600gr,Festive White - 600gr,,,none,,1,,,0,0,,,,,0,,,74,Bread,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/festive-white-bread.jpeg,,,,,,,,,0,,Brand,Festive,1,1,Vendor,Festive,1,1
777,simple,c7e60fbf658e,Indomie Beef - 120g Jumbo Pack,1,0,visible,Beef - 120g Jumbo Pack,Indomie Beef - 120g Jumbo Pack,,,none,,1,,,0,0,,,,,0,,,29,Pasta &amp; Noodles,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/Indomie-Beef-Jumbo-Noodle-120g.jpeg,,,,,,,,,0,,Brand,Indomie,1,1,Vendor,Indomie Kenya/ Salim Wazaran,1,1
779,simple,c2bf3b1faf76,Indomie - Chicken 120g,1,0,visible,Indomie - Chicken 120g,Indomie - Chicken 120g,,,none,,1,,,0,0,,,,,0,,,29,Pasta &amp; Noodles,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/Indomie-Chicken-Noodles-120g.jpeg,,,,,,,,,0,,Brand,Indomie,1,1,Vendor,Indomie Kenya/ Salim Wazaran,1,1
782,simple,8b022c2ee8a0,KENSALT 1KG,1,0,visible,KENSALT 1KG,KENSALT 1KG,,,none,,1,,,0,0,,,,,0,,,34,Cooking Ingredient,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/KENSALT-1KG-1.jpeg,,,,,,,,,0,,Brand,Kensalt,1,1,Vendor,KENSALT LIMITED,1,1
915,simple,8e95ef4c8d9a,FAHARI YA KENYA TEA 250GM,1,0,hidden,FAHARI YA KENYA TEA 250GM,FAHARI YA KENYA TEA 250GM,,,none,,0,,,0,0,,,,,0,,,,"Tea\, Coffee &amp; Hot Chocolate",,,,,,,,,,,,0,,Vendor,KENYA TEA PACKERS LIMITED,1,1,,,,
930,simple,4514c7566b1a,KENSALT 500G,1,0,visible,KENSALT 500G,KENSALT 500G,,,none,,1,,,0,0,,,,,0,,,19,Cooking Ingredient,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/Kensalt-500g.jpeg,,,,,,,,,0,,Brand,Kensalt,1,1,Vendor,KENSALT LIMITED,1,1
971,simple,ea9fe506e90d,Kabras Sugar 2kg,1,0,visible,Kabras Sugar 2kg,Kabras Sugar 2kg,,,none,,1,,,0,0,,,,,0,,,216,Sugar,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/Kabras-Sugar-2kg.jpeg,,,,,,,,,0,,Brand,Kabras,1,1,Vendor,West Kenya Sugar,1,1
972,simple,d4652d664aae,Kabras Sugar 1kg,1,0,visible,Kabras Sugar 1kg,Kabras Sugar 1kg,,,none,,1,,,0,0,,,,,0,,,110,Sugar,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/kabras-sugar-1kg.jpeg,,,,,,,,,0,,Brand,Kabras,1,1,Vendor,West Kenya Sugar,1,1
981,simple,0ed20391513a,MT.KENYA UHT MILK 500ML POUCH,1,0,visible,MT.KENYA UHT MILK 500ML POUCH,MT.KENYA UHT MILK 500ML POUCH,,,none,,1,,,0,0,,,,,0,,,48,Milk,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/mt-kenya-whole-milk.jpeg,,,,,,,,,0,,Brand,Mount Kenya,1,1,Vendor,MERU CENTRAL DAIRY CO-OPERATIVE UNION LTD,1,1
982,simple,2957de74184e,LATO FINO 500ML UHT,1,0,visible,LATO FINO 500ML UHT,LATO FINO 500ML UHT,,,none,,1,,,0,0,,,,,0,,,49,Milk,,,https://supachama.mystagingwebsite.com/wp-content/uploads/2021/11/lato-Fino-500ml.jpeg,,,,,,,,,0,,Brand,Lato,1,1,Vendor,MUSTY DISTRIBUTION LIMITED,1,1
