ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
6403,variable,8930412410,Jogoo Maize Meal - 1kg,1,0,visible,Jogoo Maize Meal - 1kg,Jogoo Maize Meal - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6404,variable,3722302986,Exe All Purpose Flour - 2kg,1,0,visible,Exe All Purpose Flour - 2kg,Exe All Purpose Flour - 2kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Exe-all-purpose-2kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6405,variable,2319734048,Exe Chapati - 2kg,1,0,visible,Exe Chapati - 2kg,Exe Chapati - 2kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/exe-chapati-2kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6406,variable,5183853415,Exe Mandazi - 2kg,1,0,visible,Exe Mandazi - 2kg,Exe Mandazi - 2kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Exe-mandazi-2kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6407,variable,8716032110,Exe Self Raising Flour - 2Kg,1,0,visible,Exe Self Raising Flour - 2Kg,Exe Self Raising Flour - 2Kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Exe-all-purpose-2kg.jpg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6408,variable,7489470096,Famila Ujimix - 1kg,1,0,visible,Famila Ujimix - 1kg,Famila Ujimix - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Familia-uji-mix-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6409,variable,1294523241,Famila Ujimix - 500g,1,0,visible,Famila Ujimix - 500g,Famila Ujimix - 500g,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/FamilaUjimix-500g.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6410,variable,4727233274,Famila Baby Porridge - 1kg,1,0,visible,Famila Baby Porridge - 1kg,Famila Baby Porridge - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Familia-baby-porridge-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6419,variable,9762639864,Famila Baby Porridge - 500g,1,0,visible,Famila Baby Porridge - 500g,Famila Baby Porridge - 500g,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Familia-baby-porridge-1kg.jpeg,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
6420,variable,2303452914,Famila Banana Flavoured Porridge - 1kg,1,0,visible,Famila Banana Flavoured Porridge - 1kg,Famila Banana Flavoured Porridge - 1kg,,,taxable,,0,,0,0,,,,,0,,,,Flours,,,https://kapuafrica.com/wp-content/uploads/2022/02/Famila-Banana-porridge.png,,,,,,,,,0,Pricing,"Base, Pamoja",1,1
