id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
8307631048_7713,"Royco Bouillon Beef Cube - 4g*40 pieces","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Royco-Beef-X-40.jpeg,https://kapu.mystagingwebsite.com/product/royco-bouillon-beef-cube-4g40-pieces/?attribute_pa_pricing=marketprice,"Cooking Ingredient","Kapu Africa",1111KES,in stock,8307631048_3747,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1111KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
7857504031_7708,"Rina Vegetable Oil test - 1L","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-1L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-1l/?attribute_pa_pricing=marketprice,"Oil","Kapu Africa",80KES,in stock,7857504031_7699,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
5406120271_7707,"Rina Vegetable Oil test - 10L","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-10L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-10l/?attribute_pa_pricing=marketprice,"Oil","Kapu Africa",80KES,in stock,5406120271_7698,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
9217739131_7706,"Pembe Home Baking test - 2Kg","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/pembe-ngano-1kg.jpg,https://kapu.mystagingwebsite.com/product/pembe-home-baking-test-2kg/?attribute_pa_pricing=marketprice,"Flours","Kapu Africa",80KES,in stock,9217739131_7697,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,80KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
7857504031_7705,"Rina Vegetable Oil test - 1L","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-1L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-1l/?attribute_pa_pricing=pamoja,"Oil","Kapu Africa",90KES,in stock,7857504031_7699,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,90KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Pamoja"
5406120271_7704,"Rina Vegetable Oil test - 10L","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-10L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-10l/?attribute_pa_pricing=pamoja,"Oil","Kapu Africa",90KES,in stock,5406120271_7698,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,90KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Pamoja"
9217739131_7703,"Pembe Home Baking test - 2Kg","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/pembe-ngano-1kg.jpg,https://kapu.mystagingwebsite.com/product/pembe-home-baking-test-2kg/?attribute_pa_pricing=pamoja,"Flours","Kapu Africa",90KES,in stock,9217739131_7697,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,90KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Pamoja"
7857504031_7702,"Rina Vegetable Oil test - 1L","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-1L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-1l/?attribute_pa_pricing=base,"Oil","Kapu Africa",100KES,in stock,7857504031_7699,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Base"
5406120271_7701,"Rina Vegetable Oil test - 10L","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/Rina-10L.jpg,https://kapu.mystagingwebsite.com/product/rina-vegetable-oil-test-10l/?attribute_pa_pricing=base,"Oil","Kapu Africa",100KES,in stock,5406120271_7698,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Base"
9217739131_7700,"Pembe Home Baking test - 2Kg","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/03/pembe-ngano-1kg.jpg,https://kapu.mystagingwebsite.com/product/pembe-home-baking-test-2kg/?attribute_pa_pricing=base,"Flours","Kapu Africa",100KES,in stock,9217739131_7697,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,100KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Base"
8227628630_4737,"Festive White - 400g","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Festive-White-400g.png,https://kapu.mystagingwebsite.com/product/festive-white-400g/?attribute_pa_pricing=marketprice,"Bread &amp; Cereals","Kapu Africa",55KES,out of stock,8227628630_3191,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
3210825758_4736,"Festive Brown - 600g","Pricing: MarketPrice",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,https://kapu.mystagingwebsite.com/product/festive-brown-600g/?attribute_pa_pricing=marketprice,"Bread &amp; Cereals","Kapu Africa",0KES,in stock,3210825758_3190,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:MarketPrice"
8227628630_4734,"Festive White - 400g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Festive-White-400g.png,https://kapu.mystagingwebsite.com/product/festive-white-400g/?attribute_pa_pricing=pamoja,"Bread &amp; Cereals","Kapu Africa",48KES,out of stock,8227628630_3191,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,48KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Pamoja"
3210825758_4733,"Festive Brown - 600g","Pricing: Pamoja",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,https://kapu.mystagingwebsite.com/product/festive-brown-600g/?attribute_pa_pricing=pamoja,"Bread &amp; Cereals","Kapu Africa",0KES,in stock,3210825758_3190,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Pamoja"
8227628630_4731,"Festive White - 400g","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2022/01/Festive-White-400g.png,https://kapu.mystagingwebsite.com/product/festive-white-400g/?attribute_pa_pricing=base,"Bread &amp; Cereals","Kapu Africa",54KES,in stock,8227628630_3191,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,54KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Base"
3210825758_4730,"Festive Brown - 600g","Pricing: Base",https://kapu.mystagingwebsite.com/wp-content/uploads/2021/11/festive-brown-bread.jpeg,https://kapu.mystagingwebsite.com/product/festive-brown-600g/?attribute_pa_pricing=base,"Bread &amp; Cereals","Kapu Africa",0KES,in stock,3210825758_3190,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,0KES,new,published,,,,,422,,"pricing:Base/Pamoja/MarketPrice:Base"
