"Lato Fino UHT - 500Ml",9475886996,15392,714119,3156,Milk,2,N/A,N/A
"Pembe Maize Meal - 2Kg",6205229719,5024,566851,880,Flours,2,N/A,N/A
"Egg - Tray (30 Pieces)",6893689190,4623,1578240,1566,Eggs,2,N/A,N/A
"Pembe Home Baking - 2Kg",9217739136,3064,447033,667,Flours,2,N/A,N/A
"Ajab Home Baking - 2Kg",838673691,2291,349324,544,Flours,2,N/A,N/A
"Onions Red Medium - 3 Pieces",1237419866,1790,29047,411,Vegetables,2,N/A,N/A
"Kabras Sugar - 1Kg",3101560275,1757,216611,549,Sugar,2,N/A,N/A
"Daima Uht - 500Ml",8411665263,1668,78357,255,Milk,2,N/A,N/A
"Kabras Sugar - 2Kg",576431025,1211,298385,432,Sugar,2,N/A,N/A
"Indomie Chicken - 120g",7646909809,1210,36303,251,"Pasta &amp; Noodles",2,N/A,N/A
"Chapa Mandashi - 100g",2966612175,1147,30301,238,Flours,2,N/A,N/A
"Tomato Medium - 3 Pieces",550486364,1054,15788,250,Vegetables,2,N/A,N/A
"Soko Maize Meal - 2Kg",1328760238,1002,116253,233,Flours,2,N/A,N/A
"Sokoni Steel Wool Sachet - 15g",687645793,978,4892,138,"Household Cleaners",2,N/A,N/A
"Spinach - Bunch (500 to 600gr)",667552795,713,11662,201,Vegetables,2,N/A,N/A
"Jamaa Cream Bar Soap - 800g",5194488407,702,92250,185,"Household Cleaners",2,N/A,N/A
"Pembe Maize Meal - 1Kg",3066355198,672,38980,163,Flours,2,N/A,N/A
"Potatoes (Changi) Assorted - 1 KG",4171505109,653,21110,232,Vegetables,2,N/A,N/A
"Sunlight Powder Lavender - 40g",1611173445,587,4698,76,"Household Cleaners",2,N/A,N/A
"Mahitaji Maize Flour - 2Kg",7326231735,584,60131,156,Flours,2,N/A,N/A
"Menengai Cream Bar Soap - 800g",9057620638,544,78884,172,"Household Cleaners",2,N/A,N/A
"Jogoo Maize Meal - 2Kg",1111846423,525,58562,151,Flours,2,N/A,N/A
"Weetabix Single Serve - 37G",7718910308,492,9840,73,"Bread &amp; Cereals",2,N/A,N/A
"Pembe Home Baking - 1KG",2502190783,468,34915,127,Flours,2,N/A,N/A
"Exe All Purpose Flour - 2kg",3722302986,410,59220,97,Flours,2,N/A,N/A
"Mchuzi Mix Beef Kora - 10g",375340437,395,1581,53,"Cooking Ingredient",2,N/A,N/A
"Sunlight Tablet Yellow - 50g",7412747853,354,5293,79,"Household Cleaners",2,N/A,N/A
"Kensalt - 500G",4130357482,354,5420,82,"Cooking Ingredient",2,N/A,N/A
"Toilex Wrapped Toilet Tissue - 1 Roll",2599419737,343,7547,73,"Household Cleaners",2,N/A,N/A
"Egg - Half Tray (15 Pieces)",5441115845,329,55926,85,Eggs,2,N/A,N/A
"Ajab Home Baking - 1Kg",4124446115,325,24670,82,Flours,2,N/A,N/A
"Omo Extra Fresh - 30g",3349960968,309,2781,38,"Household Cleaners",2,N/A,N/A
"Pekee Smart Wrapped - 1 Roll",6662194864,308,5580,74,Hygiene,2,N/A,N/A
"Ariel Downy Washing Powder - 40g",7777862534,303,2727,48,"Household Cleaners",2,N/A,N/A
"Raha Premium Maize Flour - 2Kg",3784884618,299,41861,108,Flours,2,N/A,N/A
"Jamaa Cream Bar Soap - 1Kg",6409616718,298,49184,91,"Household Cleaners",2,N/A,N/A
"Kensalt - 200G",3306580224,269,2025,47,"Cooking Ingredient",2,N/A,N/A
"Menengai Cream Bar Soap - 1KG",3886184478,262,46983,92,"Household Cleaners",2,N/A,N/A
"Indomie Beef - 120g",4885602117,260,7800,63,"Pasta &amp; Noodles",2,N/A,N/A
"Arimis Milking Jelly - 50g",1749308189,259,6891,63,Beauty,2,N/A,N/A
"Toss Lavendar Washing Powder - 20g",4686547968,217,908,33,"Household Cleaners",2,N/A,N/A
"Fahari Ya Kenya Tea - 50g",1802755156,204,3934,58,Tea,2,N/A,N/A
"Onions Red Small - 3 Pieces",1622299377,203,2842,48,Vegetables,2,N/A,N/A
"Sukuma - Bunch (500 to 600gr)",9051778069,181,3274,81,Vegetables,2,N/A,N/A
"Ufuta Vegetable Cooking Oil - 5L",8946330124,152,195340,81,Oil,2,N/A,N/A
"Softcare Sanitary Pads Maxi Thick Purple - 8",7956442967,151,6795,63,Hygiene,2,N/A,N/A
"Softcare Gold Diaper Maxi L-8",9400515460,143,16465,62,Baby,2,N/A,N/A
"Rhino Kubwa Match box - 10 S",7024750948,128,4168,75,"Household Supply",2,N/A,N/A
"Rina Vegetable Oil - 1L",7857504030,128,38325,66,Oil,2,N/A,N/A
"Salit Cooking Oil - 5L",9967536169,120,164093,57,Oil,2,N/A,N/A
"Zenta Cream Bar Soap - 1Kg",7043801979,118,17647,35,"Household Cleaners",2,N/A,N/A
"Blue Band Original - 100G",9604696117,116,5537,32,"Cooking Ingredient",2,N/A,N/A
