Category - Level 1;Category - Level 2;Brand;Product Name;Product Description;SKU;Vendor;Regular Price (KSh);Group Buy Price (KSh)
Household care;;;;Tena Serviettes White 100s (12pkts);;AFRICAN COTTON INDUSTRIES LTD;;
Household care;;;;TENA EARBUDS 100S TIN;;AFRICAN COTTON INDUSTRIES LTD;;
TKB;;;;ARYUV BABY WIPES 80S;;ARYUV AGENCIES LTD;;
TKB;;;;ARYUV BABY WIPES 30'S TRAVEL PACK;;ARYUV AGENCIES LTD;;
TKB;;;;ARYUV ANTI BACT WET TISSUE 10S;;ARYUV AGENCIES LTD;;
Food Cupboard;;;;ROYAL UMBRELLA COCONUT MILK 400ML;;ARYUV AGENCIES LTD;;
Beauty & Hygiene;;;;NIVEA C/BUTTER MILK LTN 400ML;;BEIERSDORF EAST AFRICA LTD;;
Beauty & Hygiene;;;;NIVEA COOL KICK ROLL-ON MEN 50;;BEIERSDORF EAST AFRICA LTD;;
Beauty & Hygiene;;;;NIVEA FRESH R/ON MEN 50ML;;BEIERSDORF EAST AFRICA LTD;;
Beauty & Hygiene;;;;NIVEA PEARL BEAUTY ROLL-ON 50M;;BEIERSDORF EAST AFRICA LTD;;
Household Care;;;;BIC FINE POINT BLUE BALL PEN;;BIC EAST AFRICA LIMITED;;
Food Cupboard;;;;BIC FINE POINT BLACK BALL PEN;;BIC EAST AFRICA LIMITED;;
Beauty & Hygiene;;;;BIC 1 SINGLE SHAVE POUCH;;BIC EAST AFRICA LIMITED;;
FMCG;Beauty;Arimis;Arimis Milking Jelly - 200g;ARIMIS MILKING JELLY 200G;;TRI CLOVER INDUSTRIES (K) LTD.;Ksh82.00;Ksh80.00
Food Cupboard;;;;GOLDEN FRY 2 LTR;;BIDCO AFRICA LIMITED;;
FMCG;Tea, Coffee & Hot Chocolate;Fahari;Fahari Ya Kenya Tea - 100g;FAHARI YA KENYA TEA 100GM;;KENYA TEA PACKERS LIMITED;Ksh47.00;Ksh43.00
Food Cupboard;;;;GOLDEN FRY 3 LTR;;BIDCO AFRICA LIMITED;;
Food Cupboard;;;;UFUTA COOKING OIL 2LTR;;BIDCO AFRICA LIMITED;;
Food Cupboard;;;;NOODIES TOMATO & ONION FLAVOR 120G;;BIDCO AFRICA LIMITED;;
Beverages;;;;DORMANS INSTANT STICK SPRAYDRIED 2G;;DORMANS COFFEE LIMITED;;
FMCG;Household Cleaner;;;WHITE STAR BAR SOAP 800GM;;BIDCO AFRICA LIMITED;;
Food Cupboard;;;;P.K JUICY FRUIT 10 S;;BOWIP AGENCIES LIMITED;;
Food Cupboard;;;;P.K PEPPERMINT 10S;;BOWIP AGENCIES LIMITED;;
Food Cupboard;;;;P.K MENTHOL 10S;;BOWIP AGENCIES LIMITED;;
Food Cupboard;;;;BRITANIA MILKY BISCUIT 200G;;BRITANIA FOODS LIMITED;;
Commodity;Milk;;;BROOKSIDE DAIRYBEST MILK 500ML;;BROOKSIDE DAIRY LTD.;;
